Subject Id,Visit,BodyWeighID,Study Identifier,Domain Abbreviation,Project Unique Identifier,Cohort,Subject Identification,Test Short Name,Test Name,Result or Findings as Collected,Unit of the Original Result,Standardized Result in Character Format,Standardized Result in Numeric Format,Unit of the Standardized Result,Completion Status,Reason Not Done,Baseline Flag,Fasting Status,Exclusion Flag,Reason for Exclusion,Unscheduled Flag,Planned Study Day of Collection,Date/Time Animal Weighed,Study Day Animal Weighed,Nominal Study Day for Tabulations,Label for Nominal Study Day
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,43.0,g,43,43.0,g,,,,,,,,,2012-04-09,69.0,69.0,Week 5
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,41.0,g,41,41.0,g,,,,,,,,,2012-04-16,76.0,76.0,Week 6
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,42.0,g,42,42.0,g,,,,,,,,,2012-04-23,83.0,83.0,Week 7
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,45.0,g,45,45.0,g,,,,,,,,,2012-04-30,90.0,90.0,Week 8
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,45.0,g,45,45.0,g,,,,,,,,,2012-05-07,97.0,97.0,Week 9
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,44.0,g,44,44.0,g,,,,,,,,,2012-05-14,104.0,104.0,Week 10
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,43.0,g,43,43.0,g,,,,,,,,,2012-05-21,111.0,111.0,Week 11
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,44.0,g,44,44.0,g,,,,,,,,,2012-05-30,120.0,120.0,Week 12
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,43.0,g,43,43.0,g,,,,,,,,,2012-06-04,125.0,125.0,Week 13
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,44.0,g,44,44.0,g,,,,,,,,,2012-06-11,132.0,132.0,Week 14
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,44.0,g,44,44.0,g,,,,,,,,,2012-06-18,139.0,139.0,Week 15
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,46.0,g,46,46.0,g,,,,,,,,,2012-06-25,146.0,146.0,Week 16
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,44.0,g,44,44.0,g,,,,,,,,,2012-07-02,153.0,153.0,Week 17
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,,g,,,g,NOT DONE,UNKNOWN,,,,,,,2012-07-12,163.0,163.0,Week 18
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,,g,,,g,NOT DONE,UNKNOWN,,,,,,,2012-07-19,170.0,170.0,Week 19
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,,g,,,g,NOT DONE,UNKNOWN,,,,,,,2012-07-26,177.0,177.0,Week 20
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,42.0,g,42,42.0,g,,,,,,,,,2012-08-02,184.0,184.0,Week 21
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,,g,,,g,NOT DONE,UNKNOWN,,,,,,,2012-08-09,191.0,191.0,Week 22
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,,g,,,g,NOT DONE,UNKNOWN,,,,,,,2012-08-16,198.0,198.0,Week 23
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,,g,,,g,NOT DONE,UNKNOWN,,,,,,,2012-08-23,205.0,205.0,Week 24
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,,g,,,g,NOT DONE,UNKNOWN,,,,,,,2012-08-30,212.0,212.0,Week 25
N150b128,BW,,"Xeno Nimo Hypox,FaDu",BW,N150,b,128,BW,Body Weight,43.0,g,43,43.0,g,,,,,,,,,2012-09-06,219.0,219.0,Week 26
